Country,Country,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13
Albania,Albania,30.1,30.0,30.5,31.9,32.4,33.7,33.9,34.6,34.7,34.8,35.2,36.4,36.8,38.6,39.5,40.9,41.5,40.3,41.5,41.8,42.2,43.7,43.7,44.6,45.1,44.2,45.7,45.7,46.5,47.3,47.0,47.9,48.5,49.9,50.6,51.0,53.5,54.1,55.2,57.2,57.6,57.9,58.7,59.8
Andorra,Andorra,1.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,7.9,9.2,28.9,32.8,32.8,32.8,38.1,38.1,44.6,44.6,44.6,55.1,55.1,64.3,60.4,73.5,59.1,59.1,59.1,59.1,69.6,72.2,65.6,72.2,86.6,77.5,77.5,73.5,73.5,77.5
Armenia,Armenia,271.6,269.1,276.0,277.0,281.9,282.2,279.9,274.0,265.7,258.8,253.0,247.6,237.5,234.9,234.6,233.3,225.9,221.9,212.0,204.4,201.8,198.6,196.6,193.1,189.5,180.8,177.1,173.7,166.7,156.8,153.8,148.1,141.1,139.3,130.1,121.9,115.8,108.4,97.7,97.0,102.1,94.8,89.8,87.8
Austria,Austria,7.7,7.9,9.0,10.0,10.7,11.1,11.4,12.0,12.8,13.3,13.4,13.9,13.8,13.5,14.5,14.7,14.9,15.0,14.8,14.7,15.3,15.8,16.3,17.0,17.4,17.5,18.5,19.1,18.3,19.5,19.7,19.1,19.4,19.6,18.8,18.7,18.3,17.7,17.9,17.9,17.2,17.7,17.8,18.7
Azerbaijan,Azerbaijan,68.3,70.9,73.2,74.6,75.3,75.6,75.9,76.2,75.7,75.8,75.8,75.9,75.8,75.7,75.5,75.2,74.5,73.3,73.0,71.6,70.2,68.4,66.9,64.9,62.9,60.8,59.8,58.5,57.2,55.2,53.7,52.2,50.0,49.0,47.7,46.5,44.5,42.5,40.4,38.3,35.0,31.9,28.6,25.9
Belarus,Belarus,71.4,67.6,63.9,59.9,56.4,53.4,50.6,47.8,45.3,42.6,41.2,38.8,36.6,35.2,33.3,31.9,30.9,29.5,28.4,26.9,25.5,24.8,24.3,24.1,23.7,23.6,23.3,22.6,22.2,22.0,21.6,21.4,21.1,20.9,20.7,20.1,19.6,19.2,18.7,18.4,18.2,17.9,17.3,16.8
Belgium,Belgium,10.9,11.0,10.9,10.7,10.8,10.8,10.6,10.5,10.8,11.2,11.3,11.5,11.7,12.5,13.5,14.6,15.7,17.3,17.9,18.2,21.1,21.5,25.1,27.9,31.1,32.6,33.8,37.0,41.2,45.0,48.6,52.1,53.5,54.2,57.0,62.7,64.4,67.2,69.4,69.8,69.3,69.4,64.7,58.7
Bosnia_and_Herzegovina,Bosnia_and_Herzegovina,41.5,44.3,48.0,50.7,57.4,59.4,58.6,61.5,66.4,69.5,74.8,79.2,80.9,79.9,82.5,84.9,87.6,89.3,88.3,92.7,94.9,96.0,98.4,102.2,92.7,92.2,96.5,106.6,108.8,101.8,114.0,107.1,112.4,110.8,112.2,123.4,122.1,119.3,128.0,131.0,128.9,121.2,119.4,127.1
Bulgaria,Bulgaria,21.9,23.0,23.4,24.9,25.8,26.2,27.6,28.4,30.0,32.3,35.0,36.4,36.6,36.9,37.9,38.9,40.4,42.1,42.3,42.8,43.1,45.0,46.3,45.4,45.1,44.8,45.4,45.9,46.1,46.8,46.8,46.4,45.7,46.0,43.2,41.5,40.4,40.9,41.3,43.3,42.4,41.3,40.7,39.1
Croatia,Croatia,12.8,14.1,15.8,17.9,19.5,20.5,21.7,22.2,23.0,22.9,24.4,25.7,25.3,25.8,25.8,27.5,27.6,27.7,28.0,29.5,28.2,28.2,29.6,29.9,29.0,27.5,27.8,27.1,26.9,25.5,25.3,24.6,24.3,22.2,22.7,22.0,20.8,18.9,18.4,18.4,18.3,18.8,20.0,21.5
